date,ticker,price
2024-01-01,AAPL,149.6126947871958
2024-01-02,AAPL,150.348903529288
2024-01-03,AAPL,149.98689066594042
2024-01-04,AAPL,149.92227258928332
2024-01-05,AAPL,148.87759271213991
2024-01-06,AAPL,150.59122003796483
2024-01-07,AAPL,150.60979624819086
2024-01-08,AAPL,152.27953351893518
2024-01-09,AAPL,151.28567134881794
2024-01-10,AAPL,151.63558352118494
2024-01-11,AAPL,153.1504454592415
2024-01-12,AAPL,153.01587308264604
2024-01-13,AAPL,153.4908986299467
2024-01-14,AAPL,152.45841513567618
2024-01-15,AAPL,151.67284269605366
2024-01-16,AAPL,151.79006978833672
2024-01-17,AAPL,151.86013754506263
2024-01-18,AAPL,152.7430575409063
2024-01-19,AAPL,153.67564586537023
2024-01-20,AAPL,152.66243228552094
